Name,Full Name,Sector,Industry
AALI,Astra Agro Lestari Tbk.,AGRI,Plantation
ABBA,Mahaka Media Tbk.,TRADE,Advertising, Printing and Media
ABDA,Asuransi Bina Dana Arta Tbk.,FINANCE,Insurance
ABMM,ABM Investama Tbk.,TRADE,Investment Company
ACES,Ace Hardware Indonesia Tbk.,TRADE,Retail Trade
ACST,Acset Indonusa Tbk.,PROPERTY,Building Construction
ADES,Akasha Wira International Tbk.,CONSUMER,Food and Beverages
ADHI,Adhi Karya (Persero) Tbk.,PROPERTY,Building Construction
ADMF,Adira Dinamika Multi Finance Tbk.,FINANCE,Financial Institution
ADMG,Polychem Indonesia Tbk,BASIC-IND,Chemicals
ADRO,Adaro Energy Tbk.,MINING,Coal Mining
AGAR,Asia Sejahtera Mina Tbk.,TRADE,Wholesale (Durable Goods)
AGII,Aneka Gas Industri Tbk.,BASIC-IND,Chemicals
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.,FINANCE,Bank
AGRS,Bank IBK Indonesia Tbk.,FINANCE,Bank
AHAP,Asuransi Harta Aman Pratama Tbk.,FINANCE,Insurance
AIMS,Akbar Indo Makmur Stimec Tbk,TRADE,Wholesale (Durable Goods)
AISA,Tiga Pilar Sejahtera Food Tbk.,CONSUMER,Food and Beverages
AKKU,Anugerah Kagum Karya Utama Tbk.,TRADE,Restaurant, Hotel & Tourism
AKPI,Argha Karya Prima Industry Tbk.,BASIC-IND,Plastics
AKRA,AKR Corporindo Tbk.,TRADE,Wholesale (Durable Goods)
AKSI,Maming Enam Sembilan Mineral Tbk.,INFRA,Transportation
ALDO,Alkindo Naratama Tbk.,BASIC-IND,Pulp and Paper
ALKA,Alakasa Industrindo Tbk,BASIC-IND,Metaland Allied Products
ALMI,Alumindo Light Metal Industry Tbk.,BASIC-IND,Metaland Allied Products
ALTO,Tri Banyan Tirta Tbk.,CONSUMER,Food and Beverages
AMAG,Asuransi Multi Artha Guna Tbk.,FINANCE,Insurance
AMAN,Makmur Berkah Amanda Tbk.,PROPERTY,Property and Real Estates
AMAR,Bank Amar Indonesia Tbk.,FINANCE,Bank
AMFG,Asahimas Flat Glass Tbk.,BASIC-IND,Ceramics, Glass, Porcelain
AMIN,Ateliers Mecaniques D Indonesie Tbk.,MISC-IND,Machinery and Heavy Equipment
AMOR,Ashmore Asset Management Indonesia Tbk.,FINANCE,Securities Company
AMRT,Sumber Alfaria Trijaya Tbk.,TRADE,Retail Trade
ANDI,Andira Agro Tbk.,AGRI,Plantation
ANJT,Austindo Nusantara Jaya Tbk.,AGRI,Plantation
ANTM,Aneka Tambang Tbk.,MINING,Metal & Mineral Mining
APEX,Apexindo Pratama Duta Tbk.,MINING,Crude Petroleum & Natural Gas Production
APIC,Pacific Strategic Financial Tbk.,FINANCE,Others Finance
APII,Arita Prima Indonesia Tbk.,TRADE,Wholesale (Durable Goods)
